VirusGENBANKaccession,Virus GENBANK accession,Virus name(s),Host source,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species
MH447526,MH447526,Sulfolobus filamentous virus 1,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Alphalipothrixvirus,,Alphalipothrixvirus beppuense
MK064563,MK064563,Sulfolobales Beppu filamentous virus 2,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Alphalipothrixvirus,,Alphalipothrixvirus umijigokuense
AM087120,AM087120,Acidianus filamentous virus 3,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus acidiani
AF440571,AF440571,Sulfolobus islandicus filamentous virus,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus hveragerdiense
AM087122,AM087122,Acidianus filamentous virus 7,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus pezzuloense
AM087121,AM087121,Acidianus filamentous virus 6,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus pozzuoliense
AM087123,AM087123,Acidianus filamentous virus 8,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus puteoliense
EU545650,EU545650,Acidianus filamentous virus 9,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus uzonense
MK064564,MK064564,Sulfolobales Beppu filamentous virus 3,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Deltalipothrixvirus,,Deltalipothrixvirus beppuense
AJ854042,AJ854042,Acidianus filamentous virus 2,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Deltalipothrixvirus,,Deltalipothrixvirus pozzuoliense
FM164764,FM164764,Stygiolobus rod-shaped virus,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Azorudivirus,,Azorudivirus furnasense
MN876842,MN876842,Acidianus rod-shaped virus 3,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus acidiani
MN876843,MN876843,Metallosphaera rod-shaped virus 1,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus metallosphaerae
KP282675,KP282675,Acidianus rod-shaped virus 2,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus pozzuoliense
